DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Goose Zones_MA Line,Goose Zones_Upper Keltner,Goose Zones_Lower Keltner,Goose Zones_Short Trigger,Goose Zones_Top of Range,Goose Zones_Long Trigger,Goose Zones_Bottom of Range,Goose Zones_Arrow Marker,
4/9/2024 1:00:00 PM -06:00,39041,39081,39007,39028,12483,12957,39431.1501674629,40090.2019781317,38772.098356794,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 2:00:00 PM -06:00,39028,39208,38973,39197,24966,26829,39428.8203150503,40103.528326608,38754.1123034926,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 3:00:00 PM -06:00,39197,39285,39189,39226,6270,7074,39426.8022024628,40103.8713283333,38749.7330765922,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 5:00:00 PM -06:00,39220,39235,39211,39219,878,947,39424.7345188562,40097.3352952156,38752.1337424967,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 6:00:00 PM -06:00,39221,39225,39214,39217,430,486,39422.6675087183,40089.6155410343,38755.7194764022,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 7:00:00 PM -06:00,39217,39240,39211,39234,565,579,39420.7902200743,40083.8432470937,38757.737193055,39315.35,39434.7,39076.65,38957.3,,
4/9/2024 8:00:00 PM -06:00,39234,39235,39204,39229,572,580,39418.8818596756,40078.2676923962,38759.4960269549,39315.35,39434.7,39076.65,38957.3,,
4/9/2024 9:00:00 PM -06:00,39229,39229,39213,39223,355,365,39416.932786445,40071.2700039147,38762.5955689753,39315.35,39434.7,39076.65,38957.3,,
4/9/2024 10:00:00 PM -06:00,39223,39224,39212,39217,239,248,39414.9434054853,40063.904133229,38765.9826777417,39315.35,39434.7,39076.65,38957.3,,
4/9/2024 11:00:00 PM -06:00,39217,39230,39216,39226,262,277,39413.0633715999,40056.890161754,38769.2365814457,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 12:00:00 AM -06:00,39226,39237,39206,39212,490,512,39411.0627410367,40051.4136427316,38770.7118393418,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 1:00:00 AM -06:00,39212,39239,39206,39220,993,1061,39409.1616192353,40046.2602731522,38772.0629653185,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 2:00:00 AM -06:00,39219,39255,39219,39234,1758,1860,39407.4187175514,40041.5810664542,38773.2563686487,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 3:00:00 AM -06:00,39234,39271,39213,39263,1785,1876,39405.9817153867,40039.3165782308,38772.6468525427,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 4:00:00 AM -06:00,39261,39270,39216,39228,1925,2007,39404.2107530446,40036.3482540692,38772.0732520199,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 5:00:00 AM -06:00,39228,39261,39212,39261,1922,2020,39402.7857704272,40033.2651868646,38772.3063539898,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 6:00:00 AM -06:00,39260,39270,39250,39266,1817,1889,39401.4247179852,40027.521254657,38775.3281813133,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 7:00:00 AM -06:00,39265,39345,38670,38764,23195,25277,39395.0821834778,40078.7548740136,38711.4094929421,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 8:00:00 AM -06:00,38766,38818,38636,38700,35029,36967,39388.1659428462,40082.2399001428,38694.0919855496,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 9:00:00 AM -06:00,38700,38890,38663,38783,25639,27210,39382.1443911761,40090.7698513852,38673.518930967,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 10:00:00 AM -06:00,38784,38788,38654,38669,13365,14088,39375.0484270848,40089.2895543565,38660.8072998131,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 11:00:00 AM -06:00,38669,38755,38650,38737,9374,9888,39368.6996865168,40085.7593100345,38651.6400629991,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 12:00:00 PM -06:00,38738,38790,38590,38694,30367,32385,39361.9862568002,40090.8164313277,38633.1560822727,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 1:00:00 PM -06:00,38693,38754,38599,38601,17425,18241,39354.414254245,40090.6441285284,38618.1843799615,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 2:00:00 PM -06:00,38603,38802,38597,38744,21963,23217,39348.3404805709,40096.6227939162,38600.0581672256,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 3:00:00 PM -06:00,38743,38758,38676,38726,3203,3446,39342.1480379782,40090.7359999469,38593.5600760094,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 5:00:00 PM -06:00,38716,38718,38669,38690,1241,1302,39335.6590027744,40082.1863880071,38589.1316175417,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 6:00:00 PM -06:00,38689,38689,38649,38673,1203,1262,39329.0653808562,40072.0402547931,38586.0905069194,39315.35,39434.7,39076.65,38957.3,,
4/10/2024 7:00:00 PM -06:00,38674,38717,38667,38693,1133,1161,39322.7363720915,40063.0448293723,38582.4279148107,38964.625,39172.25,38549.375,38341.75,,
4/10/2024 8:00:00 PM -06:00,38692,38731,38680,38718,1195,1266,39316.7190947573,40054.4821942542,38578.9559952604,38964.625,39172.25,38549.375,38341.75,,
4/10/2024 9:00:00 PM -06:00,38717,38733,38715,38721,613,625,39310.7915415756,40042.9152072467,38578.6678759045,38964.625,39172.25,38549.375,38341.75,,
4/10/2024 10:00:00 PM -06:00,38722,38756,38717,38752,571,592,39305.231426734,40033.7568469756,38576.7060064925,38964.625,39172.25,38549.375,38341.75,,
4/10/2024 11:00:00 PM -06:00,38752,38765,38748,38765,593,632,39299.8559896521,40022.7393659111,38576.9726133931,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 12:00:00 AM -06:00,38764,38768,38749,38750,767,787,39294.384785775,40011.871312519,38576.898259031,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 1:00:00 AM -06:00,38749,38765,38718,38719,1517,1613,39288.659564026,40003.4497074193,38573.8694206327,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 2:00:00 AM -06:00,38720,38758,38716,38744,2571,2704,39283.2400658765,39994.8880187883,38571.5921129647,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 3:00:00 AM -06:00,38744,38762,38656,38657,3056,3248,39277.0088214399,39991.5956006909,38562.4220421889,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 4:00:00 AM -06:00,38656,38695,38636,38660,3331,3496,39270.8694301818,39983.9230076492,38557.8158527144,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 5:00:00 AM -06:00,38658,38676,38637,38660,2855,3007,39264.7911273939,39974.4362115531,38555.1460432347,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 6:00:00 AM -06:00,38661,38675,38555,38580,4776,5030,39257.9772853303,39971.9045079556,38544.050062705,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 7:00:00 AM -06:00,38579,38795,38540,38763,14549,15800,39253.0521382126,39983.9800849909,38522.1241914343,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 8:00:00 AM -06:00,38763,38842,38647,38676,26178,27822,39247.310325892,39989.3981935979,38505.2224581862,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 9:00:00 AM -06:00,38677,38680,38472,38513,25929,27245,39240.0037554852,39994.3693558507,38485.6381551196,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 10:00:00 AM -06:00,38515,38668,38483,38653,15955,16712,39234.1629220972,39998.509959275,38469.8158849194,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 11:00:00 AM -06:00,38655,38665,38592,38624,12358,12955,39228.0916492406,39991.7337407748,38464.4495577063,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 12:00:00 PM -06:00,38624,38798,38595,38780,21886,23006,39223.633025865,39998.8657433542,38448.4003083759,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 1:00:00 PM -06:00,38780,38880,38773,38824,17371,18082,39219.6565778465,39997.2899648133,38442.0231908796,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 2:00:00 PM -06:00,38825,38860,38723,38726,14620,15442,39214.7445720968,39997.5905621784,38431.8985820152,38964.625,39172.25,38549.375,38341.75,,
